H,558.0
He,20.0
Li,3000.0
Be,7950.0
B,50000.0
C,nan
N,360.0
O,222.0
F,260.0
Ne,340.0
Na,2600.0
Mg,8700.0
Al,10700.0
Si,50200.0
P,640.0
S,1730.0
Cl,3200.0
Ar,1180.0
K,2330.0
Ca,8540.0
Sc,16000.0
Ti,18700.0
V,22800.0
Cr,20500.0
Mn,13200.0
Fe,13800.0
Co,16200.0
Ni,17200.0
Cu,13100.0
Zn,7350.0
Ga,5590.0
Ge,31800.0
As,27700.0
Se,5400.0
Br,5800.0
Kr,1640.0
Rb,2190.0
Sr,8000.0
Y,11400.0
Zr,21000.0
Nb,26800.0
Mo,36000.0
Tc,23000.0
Ru,25700.0
Rh,21700.0
Pd,16700.0
Ag,11300.0
Cd,6300.0
In,3260.0
Sn,7000.0
Sb,19700.0
Te,17500.0
I,7760.0
Xe,2300.0
Cs,2090.0
Ba,8000.0
La,6200.0
Ce,5500.0
Pr,6900.0
Nd,7100.0
Pm,7700.0
Sm,8600.0
Eu,9200.0
Gd,10000.0
Tb,10800.0
Dy,11100.0
Ho,17000.0
Er,19900.0
Tm,16800.0
Yb,7700.0
Lu,22000.0
Hf,25500.0
Ta,36000.0
W,35000.0
Re,33000.0
Os,31000.0
Ir,26000.0
Pt,20000.0
Au,12500.0
Hg,2290.0
Tl,4200.0
Pb,4770.0
Bi,10900.0
Po,13000.0
At,6000.0
Rn,3000.0
Fr,2000.0
Ra,8000.0
Ac,14000.0
Th,16000.0
Pa,15000.0
U,14000.0
Np,10000.0
Pu,nan
Am,nan
Cm,nan
Bk,nan
Cf,nan
Es,nan
Fm,nan
Md,nan
No,nan
Lr,nan
Rf,nan
Db,nan
Sg,nan
Bh,nan
Hs,nan
Mt,nan
